e1,c1,s1,e2,c2,s2,e10,c10,s10,e100,c100,s100,
0.57048,-0.101277,3,0.477553,-0.252596,2,1.29693,-0.280689,3.6,0.915041,3.63186,3.72,
0.0745547,-3.35887,1,0.410347,-3.28228,1.5,1.25363,-2.61499,3.3,1.08266,1.98603,3.41,
0.277168,-1.12991,6,0.376556,2.78836,5,1.01669,0.634432,3.4,1.07961,-2.87644,3.54,
2.83104,4.41114,4,0.961546,0.641515,5,0.599323,-4.00595,3.7,1.10827,-1.65961,3.77,
0.691688,-2.89645,1,0.734501,-1.4251,5.5,1.4959,4.58139,3.2,1.1769,42.2521,3.55,
0.0181213,10.0151,5,1.27218,-1.74765,3,0.705687,1.06116,2.4,1.04403,0.491852,3.51,
0.694832,4.00773,6,2.45292,36.464,3,0.939735,-0.898518,3.1,1.07292,0.347299,3.41,
0.165115,-1.87637,6,0.623376,-0.145249,3.5,0.971857,16.1531,3.3,1.06859,-1.20853,3.55,
1.16898,-1.3862,4,0.148279,1.4593,3.5,0.789021,49.6927,3.3,1.10086,-0.609513,3.84,
1.30971,-8.62581,4,1.5918,-4.50139,5,0.609673,-0.244274,3.3,1.03801,0.827322,3.41,
0.811337,3.51218,3,0.571637,1.87009,3,1.22768,5.71401,3.4,1.08742,2.49599,3.33,
0.306485,1.60319,1,1.00943,1.07864,1,1.33333,-0.440718,3,0.995859,-3.13981,3.9,
0.04005,0.389243,3,0.587621,0.100096,4,0.942025,-0.451277,3.3,1.02467,1.776,3.31,
0.116235,-3.54954,6,1.51462,2.51913,5,1.06588,1.16503,2.4,1.14448,1.07971,3.6,
0.578094,-0.296464,4,1.23479,-0.636938,5,0.702652,-1.63368,3.4,0.931433,-16.3643,3.35,
0.90527,-2.58859,1,0.266047,0.217105,3,1.07238,-0.247115,3.6,0.949385,1.48475,3.74,
0.504169,-5.00738,4,0.904041,-5.81874,4,1.67942,-8.67862,3.3,0.995535,0.0725752,3.36,
1.9358,-48.1131,4,0.77689,-0.167645,2,1.10113,-54.3017,4.4,0.927087,-0.705552,3.3,
1.80655,0.918428,2,0.771816,-2.46569,1,0.901601,0.631185,3.7,0.934266,-0.329331,3.64,
0.689101,0.530074,5,0.828918,-0.187486,3,1.114,0.418121,3.5,1.02311,3.75954,3.55,
2.15043,-1.50693,1,0.759947,-0.118448,5.5,1.11049,1.28507,4.1,1.06369,1.08244,3.51,
1.27749,-1.87164,2,1.82,-1.6486,4,0.59664,-0.659922,4.1,0.944467,21.2239,3.62,
0.31106,-3.93983,6,0.801656,-1.9656,2,0.502209,-1.37061,4.3,0.938758,0.230124,3.57,
0.818087,-0.586535,5,2.59164,-3.63042,3.5,0.899449,2.26277,3.1,1.04192,-0.904562,3.56,
0.0833582,47.7824,6,1.19182,23.1899,2,0.785984,-0.986927,2.7,0.985421,-3.89657,3.58,
0.0770828,6.19833,5,1.35746,-1.41731,1.5,0.811727,-1.02322,3.2,0.865531,-3.35621,3.8,
0.0164145,0.508096,1,1.23263,0.807281,3.5,1.69677,-1.82691,3,1.02357,-0.101684,3.42,
0.629348,-0.585295,4,0.61026,-2.11943,2,1.19816,-1.67792,4.1,1.03298,1.83237,3.42,
0.116429,-0.940941,4,0.175513,0.0658301,4,1.0877,-3.91419,3,0.728924,-0.740292,3.57,
0.394619,2.5011,2,1.06702,2.13408,3.5,1.08517,-1.32703,3.6,1.08443,-17.8385,3.31,
0.339589,2.44205,4,0.569292,1.07182,2.5,0.968018,-3.37249,2.1,1.14413,-0.251565,3.71,
0.223514,-14.3707,5,0.528709,1.17498,5,0.747091,5.74699,4.4,1.01847,0.227889,3.4,
0.754354,1.00419,3,0.91493,-0.973101,2,0.554904,0.576153,3,1.06398,0.0681715,3.48,
1.02907,-3.33766,6,0.637111,-31.1608,4.5,0.742589,0.185254,2.8,0.915787,-0.513109,3.1,
0.682167,-1.35348,4,2.3361,-0.49674,4.5,0.926469,-10.4467,3.1,1.03136,-2.20884,3.41,
0.0615821,-0.0789904,1,0.606758,-0.893925,2,0.693794,-0.269802,3.3,1.07752,0.217529,3.49,
2.83079,-2.43098,3,0.60018,44.7444,2.5,1.578,-15.5032,3.6,0.782822,-0.544312,3.5,
0.0262686,-0.267423,1,1.23876,-0.979822,3.5,1.50745,9.00797,3.4,1.09781,6.29442,3.54,
0.613232,-12.0151,5,0.166908,-3.23058,2,1.09661,-1.21521,3,1.15636,-0.822424,3.25,
0.813764,2.36873,5,0.701099,21.9839,3,0.543178,1.34275,3.5,1.06022,0.10039,3.43,
0.336961,-1.44043,5,0.786706,-0.393604,2.5,1.80092,0.674422,4.2,1.09082,-0.0594154,3.66,
1.75863,-0.286513,5,0.320098,-0.362076,4.5,0.601445,0.367497,4.7,0.962839,0.100294,3.47,
0.473004,-0.278875,1,0.754284,-19.272,3.5,0.543047,0.847899,3.7,1.07369,2.89698,3.36,
1.73578,-2.47049,6,0.321951,-5.11133,4,0.790449,-1.01581,2.7,1.18935,-1.03068,3.59,
1.53829,1.71132,2,0.323422,-13.1586,3.5,1.38606,-1.14803,4.1,0.99012,0.160378,3.46,
2.08239,-0.530241,2,0.739111,-0.729577,1.5,0.481426,0.657604,4.1,1.01295,0.927759,3.52,
0.514767,0.875971,5,0.979412,1.84882,3,1.18591,0.0122404,4.5,1.02338,1.81475,3.44,
0.428244,0.142872,5,1.42406,0.347597,4.5,1.02324,-3.27175,3,1.12559,-1.38,3.23,
0.669559,0.37328,4,1.65779,-0.565027,2,1.00126,0.17971,3.4,1.02943,2.05721,3.62,
0.558417,-0.951779,3,0.262391,-31.0171,3,1.03756,-1.35815,2.9,1.03266,0.222807,3.37,
0.261271,2.08825,5,1.94739,0.0226608,6,0.888197,-0.265373,4.3,0.892091,0.628174,3.49,
1.71866,0.374146,1,0.601443,-0.699272,4.5,0.902112,-13.9492,2.9,0.992116,0.116146,3.6,
2.18426,-0.942313,2,1.04624,-3.06909,4.5,0.633399,-2.04165,4,0.936888,-4.80707,3.69,
0.375041,0.951248,2,0.303836,-0.60202,4.5,1.24161,-0.58025,4.9,1.07404,1.58032,3.35,
2.40229,0.865443,3,0.656538,-0.13921,4,0.783095,2.48355,3.2,0.988936,-4.56247,3.47,
1.56353,-2.09046,3,0.429249,0.399134,5,1.5012,-2.74858,3.7,1.02247,0.815683,3.63,
0.59374,-0.731609,1,0.331461,4.38343,3.5,0.834685,-0.439711,4,1.00352,-7.97598,3.73,
2.27043,-0.0961278,3,0.491913,-0.134897,3,0.675643,3.98771,2.9,0.886593,-27.0168,3.27,
1.24593,-0.506165,1,0.415567,-0.450388,2,1.13489,2.34568,2.9,0.980558,-1.63865,3.58,
2.24813,-2.03174,4,0.519228,0.629742,4,0.486625,0.261107,3.7,0.965887,-0.0682079,3.66,
0.131507,2.06776,5,0.208143,11.3646,3.5,1.55683,2.23156,4.3,1.10125,7.57317,3.67,
0.707077,0.0509455,1,1.03556,-3.63507,5,1.45899,-0.0362739,3.7,0.803411,6.05706,3.86,
4.14778,-0.33205,5,0.990446,1.7687,3.5,0.820288,1.11668,4.3,0.830773,0.53354,3.28,
0.674236,0.0809012,3,0.464772,18.1689,4.5,0.640538,-0.0622362,4.1,1.14238,-0.898226,3.46,
2.12992,-3.73985,4,0.433668,0.414688,3.5,0.820943,-0.733469,3,0.941119,276.451,3.35,
2.67763,-0.612973,5,0.770056,-1.00715,4,0.732352,-66.1399,4,0.880775,-0.384113,3.43,
2.81731,0.272297,4,0.71355,0.371095,4,0.982055,0.295636,3.7,1.08682,0.347544,3.57,
1.14276,0.772663,3,3.09734,1.07316,4.5,1.37887,-0.215957,4.1,1.15083,0.288201,3.67,
0.275091,-2.06318,1,0.847521,2.23902,2.5,0.970134,-1.42145,3.5,1.04028,0.977846,3.36,
0.679094,2.20083,4,2.30816,-0.483024,3.5,0.634855,-3.88009,3.4,0.960734,-0.910072,3.5,
2.91724,-1.86007,3,1.13489,0.173951,2.5,0.895415,-0.0927,2.6,0.994486,0.677906,3.61,
0.872155,-2.25209,3,1.81949,0.61381,2.5,0.679999,0.127198,3.8,0.884245,-2.76859,3.64,
0.237705,0.297898,3,1.65996,0.701141,2,0.842269,-1.38608,4.2,1.02862,-3.90536,3.64,
0.944015,1.09079,3,1.63268,-1.00112,3,0.687977,9.62526,3.2,0.947924,-0.416328,3.77,
0.429524,3.05848,3,0.368439,0.122623,3.5,1.27514,-0.0929515,3.2,1.02899,1.13912,3.51,
0.19298,1.78163,3,0.749767,1.76579,3,1.00631,-1.64825,3.4,0.81992,0.965253,3.45,
0.823909,2.22758,4,0.833007,5.51091,2,0.865012,1.27139,3.2,1.07115,1.19688,3.88,
1.87587,0.0403259,5,1.39776,1.68538,3.5,0.680105,-2.20286,4.1,0.804785,2.2772,3.64,
3.34338,5.294,6,1.03713,-7.82852,1.5,0.721062,3.18431,4.1,1.01017,-5.80607,3.46,
1.05682,-3.43515,4,1.39873,0.564238,3.5,1.16237,-0.70074,2.6,1.02185,-12.9136,3.72,
1.55626,-2.82879,4,0.192352,0.276415,6,0.847281,-6.51628,4,1.15339,1.12769,3.67,
0.230092,-1.13723,5,1.12923,-0.934309,4,1.07702,0.688395,3.4,1.14054,0.3119,3.74,
0.181318,45.1074,1,1.9644,1.38252,3.5,1.11216,-0.854762,2.9,1.13884,12.9037,3.55,
0.62847,0.706381,6,2.87681,-0.359022,4.5,0.682356,0.88005,3.8,1.10776,0.389372,3.53,
1.62828,1.82845,2,0.445705,-0.0265634,2,1.38015,-4.88146,3.5,0.93589,-1.19228,3.18,
0.414506,-5.33992,5,0.966762,1.21216,4,1.22741,0.725669,2.4,0.9119,-0.0187631,3.68,
1.32492,-0.655581,3,1.71724,0.235241,2,1.30832,-0.592945,3.3,0.914321,0.441952,3.57,
1.24996,-10.7973,4,0.970118,-0.0739257,3,1.27503,39.5032,3.4,1.03185,2.32885,3.3,
0.269362,0.114876,6,0.584535,-1.2472,2,0.449735,-0.429996,4,0.888909,0.697037,3.57,
0.958343,-0.328343,4,0.455097,0.537874,3.5,1.07348,-4.22138,2.8,0.936202,0.344335,3.16,
0.494133,1.49815,6,0.769449,-12.7189,5.5,0.849816,1.16194,3.8,1.09268,0.431225,3.56,
0.456079,0.508982,4,0.584251,-1.25158,2,0.895478,-0.388373,3.5,1.13653,-0.461417,3.67,
0.311487,2754.42,1,0.20666,-0.106973,4,1.15701,-4.93569,4,0.967474,-1.33468,3.83,
0.71503,-0.522476,4,0.31918,0.16955,5,1.36248,0.159354,3.4,0.962933,-0.821267,3.46,
1.34742,-0.476958,3,0.286669,0.0924243,4.5,1.19023,-0.492476,3.4,0.95863,0.252414,3.93,
0.671089,-6.72856,3,1.18182,-0.907563,6,0.691582,-2.04538,3.5,1.04614,-7.54767,3.5,
0.563903,1.52041,2,1.01446,0.664004,1.5,0.870598,-4.69926,4.2,1.26825,0.856914,3.61,
0.0762868,2.84087,5,0.0980341,-0.419468,4,1.04717,5.75639,3.5,1.03667,-1.44408,3.35,
0.529717,-2.36858,2,0.786965,0.39562,3.5,1.06886,2.52416,4,1.00998,0.407956,3.28,
0.0835936,-0.273494,1,0.555845,2.84287,5,0.777018,-0.524407,4.2,1.05385,1.60281,3.63,
0.161049,2.6325,3,0.213624,-0.656341,4,1.31741,-30.3899,4,0.961368,-0.675509,3.38,
0.548642,-0.434244,2,0.954015,-15.3254,2,0.97923,0.373893,3.7,1.01539,-1.00689,3.38,
1.49237,2.12951,2,0.459107,-0.403999,3.5,0.90406,-0.591806,3.2,0.920492,1.35888,3.61,
0.972724,0.808653,6,0.76197,-0.211404,5.5,0.542939,1.47808,3.1,0.831241,0.62021,3.77,
2.13487,-0.81543,3,1.67296,-0.452102,3.5,0.60015,2.24657,2.2,1.15108,-1.09631,3.64,
0.198344,1.70211,4,3.55125,7.02618,1,1.05932,-1.40578,3.9,1.16168,-0.392255,3.46,
0.0502326,-0.558473,6,0.689286,-3.99432,5,1.29816,0.280066,3,0.997081,0.0595276,3.6,
1.63657,-0.450162,6,1.57165,-0.118129,3.5,1.16376,1.46124,3.3,1.00109,1.05664,3.51,
0.230346,5.56171,5,1.91009,-0.163924,3.5,0.63148,0.694189,3.2,0.822796,1.00029,3.44,
3.40722,0.615811,1,0.955381,2.24241,4.5,1.59295,-2.96533,3.6,1.2064,-0.145403,3.53,
4.07765,0.407776,3,0.573548,-2.74494,1.5,1.58867,4.08472,4.1,1.19246,-0.835604,3.46,
0.0488071,19.173,3,1.86482,-2.5472,1.5,1.17235,-1.10162,2.8,0.88651,-0.974957,3.32,
0.545496,-44.3168,2,0.231922,-0.472069,4.5,1.30578,11.4705,3.4,1.15595,1.1968,3.38,
1.14999,1.5674,1,0.311555,0.0208901,3.5,1.42282,2.4884,3.8,1.01682,-2.51019,3.57,
2.30025,10.0592,4,0.51303,2.21527,3,0.716439,4.38889,2.8,0.841893,3.92135,3.42,
0.206788,-0.18166,3,1.3433,0.478377,5,1.51981,-3.52014,4.2,1.13581,0.0159868,3.62,
0.511802,-0.434806,6,0.744794,0.121323,3.5,0.743095,5.08124,2.5,1.09885,2.02103,3.4,
0.0660947,0.654769,2,5.38515,1.12266,2,1.93349,2.00998,3.6,0.931226,0.344883,3.65,
1.52126,0.553758,4,0.215518,7.64245,3.5,0.807982,-0.271137,2.2,0.979229,-29.6339,3.38,
1.30339,-2.59239,2,0.517495,-2.01421,2.5,0.996619,1.34678,2.9,1.06851,0.423973,3.92,
0.306039,2.4632,1,2.10538,1.68492,4,0.493675,-1.57232,3.7,0.85455,-5.93519,3.71,
0.584476,0.226276,6,2.109,-2.37501,4,0.613168,-0.0923753,3.6,1.11783,1.26789,3.18,
0.541589,7.81428,6,2.63742,0.44428,4,1.03796,1.03637,3.1,0.985689,-0.842898,3.59,
2.65257,-0.216248,1,0.757745,1.96356,5,1.56724,-0.714055,3.7,1.04742,-0.173273,3.68,
0.628645,3.67941,6,0.412879,5.79418,2,1.11537,-0.665098,4.9,1.16969,-1.76995,3.78,
1.66089,0.660244,6,1.98858,0.140737,5,0.69008,-1.14096,4.8,1.1086,-0.58863,3.3,
0.737306,6.50358,3,0.546855,1.29137,5,1.29168,598.304,3.7,1.06758,0.312958,3.54,
0.251639,0.646234,5,0.810803,1.88624,5,0.50497,0.734837,3.1,0.973995,0.161628,3.4,
0.76869,-0.463914,6,1.51999,0.441714,5.5,1.32013,-0.92477,2.8,0.889793,-2.32519,3.5,
3.57935,24.3031,6,1.48409,-1.58477,4,1.28866,-0.60146,3.7,1.18056,-0.794155,3.64,
0.137562,-0.333759,2,0.528113,-2.32885,3,0.765067,-0.610702,4.4,0.98672,2.43281,3.64,
0.761799,-2.46017,4,0.995791,-1.32335,4.5,0.747066,3.81504,3.7,0.970029,-0.0117122,3.48,
0.996644,-1.94719,4,1.38761,0.456677,3.5,1.19057,19.6318,3.6,1.28831,0.527929,3.46,
0.255945,0.308237,3,0.816445,0.244388,4.5,0.940385,-0.143014,2.8,1.05329,-2.92728,3.24,
1.14448,-5.96928,1,0.356029,-14.7711,5.5,0.713879,2.16247,4.3,1.17503,-0.321298,3.47,
0.141251,0.823072,6,1.19035,2.06952,4,0.771858,1.4379,4.1,1.09032,3.02769,3.51,
0.428762,-0.812954,6,1.7498,0.206227,5.5,0.857799,5.24896,3.6,1.01944,1.08211,3.65,
1.09171,-23.5189,6,1.00842,-1.32351,2,1.12927,0.966765,3.3,0.907201,0.513827,3.42,
1.50436,0.402811,5,1.10027,1.47134,3,1.11436,-0.544981,4.5,1.07021,-0.308095,3.67,
0.11084,-4.45608,3,1.68084,-29.0449,4.5,0.564811,0.280075,3.8,1.15669,1.94453,3.83,
2.58101,6.09838,1,0.777176,1.15648,5.5,0.600625,-0.80794,3.4,1.13669,-0.251875,3.49,
0.955442,1.23124,4,1.1897,-0.360421,5,1.06201,-0.44446,3.5,1.08938,-1.71337,3.58,
1.50564,-0.458939,4,1.52327,1.59803,1,0.495771,-0.351279,2.9,1.05715,-0.616192,3.61,
0.460855,13.8985,1,1.73068,-0.99993,3,1.3546,16.9087,4.1,1.03995,0.0610789,3.6,
0.580329,0.578229,4,0.166376,1.09725,3.5,0.815758,-0.870873,3,1.07362,-0.752465,3.39,
0.391989,-4.86332,4,0.435551,0.908423,4.5,0.52482,0.570171,3.9,0.934043,-0.597703,3.53,
0.0949434,1.21643,3,0.704095,-1.18393,2.5,0.797918,0.656392,2.9,1.05767,0.42398,3.64,
0.701301,-0.71504,6,0.986891,0.324239,4,0.951279,3.09478,3.4,1.05154,1.63191,3.47,
1.08921,0.438032,1,0.747439,3.90825,3.5,1.07838,-5.44406,4.6,0.893002,0.43457,3.57,
1.35654,-0.107738,5,1.42704,0.4117,3,1.17679,-3.40115,3.4,1.03171,-0.592211,3.46,
4.74722,-3.59281,2,0.0329575,0.592401,1.5,1.72916,-1.53346,3.2,0.869252,0.704259,3.61,
0.498096,-1.82596,4,1.66608,-0.232011,4,1.13815,7.45733,3.9,0.96005,0.215834,3.54,
0.321499,1.36671,2,0.896616,-1.12525,4.5,0.850134,81.0377,3.6,1.16697,1.4096,3.37,
5.43017,-1.43912,2,1.42038,-0.950132,3.5,1.22589,0.651886,4.7,1.01787,-0.613892,3.72,
0.0746485,1.90476,4,1.25053,0.347021,3.5,1.00025,-2.35262,3.3,0.915257,11.9695,3.61,
1.15022,-0.379915,3,2.65551,-6.50213,1,0.649736,-0.698914,3.3,0.950329,2.91678,3.3,
1.45891,-1.62972,1,0.276467,-0.784051,3.5,0.801034,-1.03679,2.9,0.97527,1.79271,3.38,
0.0322964,-0.864006,1,0.885119,-1.94879,3.5,0.868978,-1.30887,3.4,0.952422,-2.40915,3.44,
1.42918,-4.65241,4,0.925844,7.36814,3,1.1878,0.374629,3.6,0.90287,-8.02106,3.24,
0.0654204,0.536372,5,0.907668,0.797149,4.5,0.931306,1.12287,2.5,1.07434,3.86651,3.73,
0.312473,7.72753,5,0.865665,-0.598091,3,1.37318,-1.44817,2.8,0.949378,1.01384,3.2,
0.24469,0.0941991,6,0.630035,0.722755,4,0.997442,-0.228164,3,1.07576,77.1034,3.54,
0.758972,1.91772,6,1.6751,-0.0387072,3,1.11127,1.35246,3.8,0.93078,5.99007,3.27,
0.0166331,1.06249,3,0.290182,1.62631,2,0.977809,2.78099,3.4,1.25201,1.54105,3.46,
0.909764,-2.81539,4,1.77793,-0.449239,3.5,1.65513,-0.31247,3.1,0.81965,0.370709,3.58,
1.69594,0.487543,3,1.1938,-0.323936,3.5,0.776412,-0.377087,3.8,1.12676,0.307603,3.64,
0.353138,0.186659,5,0.964823,3.80581,3,0.833406,0.0511022,3.9,0.959441,1.55202,3.26,
0.999653,-1.10308,2,0.656049,-0.2778,5.5,0.628202,-3.14806,4.2,0.996699,0.212193,3.24,
0.853428,-20055.7,1,0.29139,0.496366,2,0.96471,-1.26587,4.1,0.816006,-0.893321,3.55,
1.69884,1.15499,1,0.330979,0.0596011,2,0.501197,2.62777,4.2,0.886405,4.85849,3.41,
1.08911,0.526018,2,0.314068,0.471735,4,1.21594,-0.746237,2.5,0.909332,2.53982,3.79,
1.00877,-1.13642,6,0.708039,1.11305,2.5,1.01485,3.12185,3,0.875641,-0.479283,3.54,
3.34416,-0.473783,3,0.409448,1.17906,4,0.627331,-1.58254,3.4,0.819919,1.91588,3.46,
0.330542,0.783261,1,0.0433558,-0.0083408,2,0.797808,-0.671099,3,1.0706,0.10782,3.82,
0.102552,0.788682,4,0.998975,-5.50652,4,0.993607,-0.381901,4.1,0.943218,0.788113,3.75,
0.642535,0.149767,1,1.37061,2.67282,5.5,0.759413,0.0161602,3.3,0.817218,-0.771232,3.48,
0.752673,3.3241,3,0.476221,4.31169,1,1.43036,-2.75513,2.9,1.00435,-1.87093,3.7,
0.150113,0.895221,3,0.238451,-2.08146,4.5,0.702143,6.32386,3.3,1.27901,-5.5046,3.45,
0.116143,-26.7808,3,0.95993,0.519449,2.5,1.4639,0.0449547,5.2,0.902055,-2.07632,3.38,
0.436306,1.54196,5,0.762325,-1.06154,4,0.556275,-3.05144,3.3,0.897617,-0.3085,3.54,
1.9041,-1.76099,3,0.577185,0.608743,5,1.28391,3.21671,3.3,0.846515,0.967393,3.42,
0.209269,-1.04071,2,2.00185,2.15283,4,1.2239,-0.0267499,4.1,0.751929,0.456912,3.12,
0.0983644,-2.62226,3,0.550994,-1.16665,2.5,1.06004,-2.00175,4.2,0.949109,0.166933,3.64,
1.131,-1.35748,4,0.751955,-0.243063,2,1.00759,-1.76637,3,0.984865,-0.653995,3.47,
0.646217,1.21264,5,0.559347,-0.907812,4.5,0.788142,2.38404,3.6,0.893193,0.782299,3.67,
0.205844,-4.49991,3,2.34179,0.572918,4,1.29016,1.65264,4.1,1.01258,0.420442,3.79,
4.42373,0.801402,1,0.555951,-3.14524,4,1.28684,-8.89429,3.9,1.05596,1.94997,3.76,
0.940709,-4.48728,4,0.975162,-1.86955,2,1.54178,-1.57143,3.1,0.959659,-1.04929,3.14,
0.241891,-0.378363,2,0.832561,-0.8024,4.5,1.0453,0.671657,3.8,0.921045,-1.02918,3.42,
1.30428,-3.14627,4,0.286778,0.485804,5,0.717011,-0.196021,3.6,1.03915,-0.685521,3.44,
0.117205,-8.24581,6,1.97449,0.288833,2.5,1.00804,0.660293,3.1,1.06023,1.27473,3.41,
0.405256,-0.400843,1,1.06267,0.337888,4,1.06658,0.274336,2.5,1.09013,0.5106,3.36,
0.266968,-0.74674,6,1.22633,-6.52685,1.5,1.0182,0.31421,3.4,0.997329,10.1543,3.54,
0.85576,-0.12979,5,0.741712,0.532832,2,0.887575,-1.64092,3.3,1.07445,1.03255,3.64,
1.71552,1.61982,1,1.27606,-0.51463,2.5,0.876479,-0.378258,3.4,0.957607,-1.58774,3.86,
0.040234,-2.30549,3,0.751061,0.0848304,4.5,0.932351,0.565317,3.7,0.987717,-0.137045,3.35,
0.0345155,-4.62067,6,0.779551,0.0474185,5,0.811452,-0.673694,3.8,1.00472,3.11158,3.45,
2.26894,-0.246496,1,0.234039,2.34803,5,1.06933,-0.259944,3.3,0.939133,0.561411,3.29,
1.24117,-1.23639,4,1.00795,-3.31722,5,0.835114,-0.844001,3.9,0.948108,-0.633763,3.25,
0.63907,0.964808,3,1.09076,-8.47555,2.5,1.54911,-2.00334,3.9,0.987079,-0.508337,3.49,
3.72303,0.376909,6,0.477276,-3.17351,3,0.688574,-0.778703,3.3,1.06121,-0.56391,3.68,
0.55861,-0.24273,4,0.503246,23.2098,3,1.28818,1.78029,3.5,0.973755,0.15862,3.61,
0.250835,0.421696,5,0.664191,0.127644,3,0.867437,-0.172628,3.9,0.947696,-2.03226,3.13,
1.48741,0.228284,6,0.583513,1.15482,2.5,1.6196,-1.55325,4.4,1.0043,1.03065,3.5,
0.579699,5.50576,2,1.0366,-2.80197,2.5,0.812974,-0.805639,3.3,0.969075,-1.99666,3.54,
1.14531,0.332858,2,0.971324,-0.0737238,3,0.963053,-1.93233,3.9,0.828183,-0.0286897,3.42,
